date,1. open,2. high,3. low,4. close,5. volume
2024-04-26,174.37,174.71,169.65,171.95,64665299.0
2024-04-25,151.33,156.49,150.87,156.0,57109730.0
2024-04-24,157.49,159.565,157.165,159.13,22779112.0
2024-04-23,156.96,158.97,156.28,158.26,21151568.0
2024-04-22,154.31,157.64,154.06,156.28,26446206.0
2024-04-19,156.2,156.36,152.3,154.09,32615639.0
2024-04-18,155.34,156.94,154.62,156.01,19883044.0
2024-04-17,155.62,157.08,154.58,155.47,21763130.0
2024-04-16,154.19,155.65,153.43,154.4,20779495.0
2024-04-15,158.86,159.24,154.59,154.86,27136472.0
2024-04-12,157.96,160.2225,157.14,157.73,25353746.0
2024-04-11,156.91,159.68,156.46,159.41,27166431.0
2024-04-10,156.21,156.61,154.68,156.14,22838629.0
2024-04-09,156.085,158.56,155.19,156.6,30739691.0
2024-04-08,152.78,155.27,152.61,154.85,20577435.0
2024-04-05,150.03,153.42,149.6,152.5,23328522.0
2024-04-04,153.5,154.77,150.45,150.53,34468227.0
2024-04-03,153.6,155.08,152.73,154.92,23884801.0
2024-04-02,153.5,154.7,152.15,154.56,24491676.0
2024-04-01,150.69,155.74,150.61,155.49,31308247.0
2024-03-28,150.85,151.43,150.17,150.93,24485390.0
2024-03-27,151.18,151.635,148.9,150.87,22879178.0
2024-03-26,150.22,152.256,149.98,150.67,22149137.0
2024-03-25,149.94,150.375,147.82,150.07,19229285.0
2024-03-22,149.12,151.58,148.98,150.77,29211769.0
2024-03-21,149.47,150.37,146.9001,147.6,24755597.0
2024-03-20,148.0,148.86,146.735,148.74,21311501.0
2024-03-19,148.16,148.7913,146.08,147.03,24070435.0
2024-03-18,148.61,152.15,147.17,147.68,69273699.0
2024-03-15,142.5,143.18,140.03,141.18,49475417.0
2024-03-14,141.19,143.585,140.455,143.1,42570686.0
2024-03-13,139.0,141.09,138.99,139.79,23164162.0
2024-03-12,137.03,139.375,137.03,138.5,27353587.0
2024-03-11,136.13,139.1,136.13,137.67,31677211.0
2024-03-08,134.21,138.085,134.0,135.41,39370392.0
2024-03-07,132.795,134.94,131.61,134.38,37738209.0
2024-03-06,133.12,133.58,130.85,131.4,35318610.0
2024-03-05,131.88,133.24,130.665,132.67,40194757.0
2024-03-04,135.66,135.66,131.91,133.35,55999415.0
2024-03-01,138.43,138.87,136.92,137.14,31151116.0
2024-02-29,137.28,138.86,136.4,138.46,42132953.0
2024-02-28,137.9,138.01,135.41,136.38,37328558.0
2024-02-27,138.02,139.25,137.09,138.88,33099190.0
2024-02-26,142.14,142.44,137.39,137.57,53641795.0
2024-02-23,143.67,144.68,143.43,143.96,19493752.0
2024-02-22,144.93,145.0,142.8,144.09,27191892.0
2024-02-21,141.45,142.69,140.675,142.55,23315687.0
2024-02-20,139.655,142.08,139.49,141.12,24935710.0
2024-02-16,142.99,143.19,140.14,140.52,31468926.0
2024-02-15,143.14,143.52,140.46,142.77,37590695.0
2024-02-14,146.08,146.52,144.094,145.94,22704166.0
2024-02-13,144.92,146.67,143.69,145.14,27837730.0
2024-02-12,148.42,149.335,147.37,147.53,21564085.0
2024-02-09,146.68,149.44,146.18,149.0,26829504.0
2024-02-08,145.83,146.33,145.105,145.91,22563764.0
2024-02-07,144.76,145.615,143.925,145.54,25208862.0
2024-02-06,144.65,145.36,143.19,144.1,29128201.0
2024-02-05,142.82,145.47,142.78,143.68,38505405.0
2024-02-02,139.26,142.62,136.5,142.38,62499574.0
2024-02-01,142.12,143.06,140.79,141.16,40466549.0
2024-01-31,143.62,144.0,139.87,140.1,71910044.0
2024-01-30,152.8,153.62,151.185,151.46,36331833.0
2024-01-29,152.06,153.78,151.43,153.51,27784259.0
2024-01-26,151.1,152.535,151.01,152.185,26115494.0
2024-01-25,150.065,153.05,149.54,151.87,29149069.0
2024-01-24,148.54,149.855,148.1,148.7,25155644.0
2024-01-23,145.89,147.182,145.5,147.04,21636129.0
2024-01-22,147.1,148.39,145.84,145.99,32200369.0
2024-01-19,144.74,146.45,144.38,146.38,34271867.0
2024-01-18,142.05,144.21,141.99,143.48,25746417.0
2024-01-17,141.345,141.84,138.9,141.47,20968649.0
2024-01-16,142.0,144.35,141.45,142.49,22670467.0
